	S001	S002	S003	S004	S049	S050	S051	S052
seq591	0	1	0	2	0	0	0	3
seq592	0	0	6	0	0	0	0	0
seq593	0	0	6	0	0	0	0	0
seq594	0	0	0	0	6	0	0	0
seq595	0	0	0	0	0	6	0	0
seq596	0	0	0	0	0	0	0	6
seq597	2	0	1	0	0	0	2	0
seq598	1	0	0	0	0	0	4	0
seq599	1	0	0	0	0	4	0	0
seq600	0	1	0	0	1	1	1	1
seq601	0	0	5	0	0	0	0	0
seq602	0	0	5	0	0	0	0	0
seq603	0	0	5	0	0	0	0	0
seq604	0	0	5	0	0	0	0	0
seq605	0	0	5	0	0	0	0	0
seq606	0	0	0	5	0	0	0	0
seq607	0	0	0	5	0	0	0	0
seq608	0	0	0	5	0	0	0	0
seq609	0	0	0	0	5	0	0	0
seq610	0	0	0	0	5	0	0	0
seq611	0	0	0	0	5	0	0	0
seq612	0	0	0	0	0	5	0	0
seq613	0	0	0	0	0	5	0	0
seq614	0	0	0	0	0	5	0	0
seq615	0	0	0	0	0	5	0	0
seq616	0	0	0	0	0	5	0	0
seq617	0	0	0	0	0	5	0	0
seq618	0	0	0	0	0	0	5	0
seq619	0	0	0	0	0	0	5	0
seq620	0	0	0	0	0	0	5	0
seq621	0	0	0	0	0	0	5	0
seq622	0	0	0	0	0	0	0	5
seq623	0	0	0	0	0	0	0	5
seq624	0	0	5	0	0	0	0	0
seq625	0	0	5	0	0	0	0	0
seq626	0	0	5	0	0	0	0	0
seq627	0	0	0	0	5	0	0	0
seq628	0	0	2	0	0	0	3	0
seq629	0	0	3	2	0	0	0	0
seq630	0	0	0	0	0	5	0	0
seq631	0	0	0	0	0	3	2	0
seq632	5	0	0	0	0	0	0	0
seq633	2	1	0	0	0	1	1	0
seq634	0	5	0	0	0	0	0	0
seq635	0	0	5	0	0	0	0	0
seq636	0	0	5	0	0	0	0	0
seq637	0	0	5	0	0	0	0	0
seq638	0	0	5	0	0	0	0	0
seq639	0	0	0	5	0	0	0	0
seq640	0	0	0	0	5	0	0	0
seq641	0	0	0	0	5	0	0	0
seq642	0	0	0	0	5	0	0	0
seq643	0	0	0	0	0	5	0	0
seq644	0	0	0	0	0	5	0	0
seq645	0	0	0	0	0	5	0	0
seq646	0	0	0	0	0	0	5	0
seq647	0	0	0	0	0	0	5	0
seq648	0	0	0	0	0	0	0	5
seq649	0	0	0	0	0	0	0	5
seq650	0	0	0	0	0	0	0	5
seq651	4	0	0	0	0	0	0	0
seq652	4	0	0	0	0	0	0	0
seq653	4	0	0	0	0	0	0	0
seq654	0	4	0	0	0	0	0	0
seq655	0	0	4	0	0	0	0	0
seq656	0	0	4	0	0	0	0	0
seq657	0	0	0	4	0	0	0	0
seq658	0	0	0	4	0	0	0	0
seq659	0	0	0	4	0	0	0	0
seq660	0	0	0	0	4	0	0	0
seq661	0	0	0	0	4	0	0	0
seq662	0	0	0	0	4	0	0	0
seq663	0	0	0	0	4	0	0	0
seq664	0	0	0	0	4	0	0	0
seq665	0	0	0	0	0	4	0	0
seq666	0	0	0	0	0	4	0	0
seq667	0	0	0	0	0	0	4	0
seq668	0	0	0	0	0	0	0	4
seq669	0	0	0	0	0	0	0	4
seq670	0	0	0	0	0	0	0	4
seq671	0	0	4	0	0	0	0	0
seq672	0	0	0	4	0	0	0	0
seq673	0	0	0	0	0	0	0	4
seq674	4	0	0	0	0	0	0	0
seq675	4	0	0	0	0	0	0	0
seq676	1	1	0	0	2	0	0	0
seq677	0	4	0	0	0	0	0	0
seq678	0	0	4	0	0	0	0	0
seq679	0	0	0	4	0	0	0	0
seq680	0	0	0	4	0	0	0	0
seq681	0	0	0	2	0	0	0	2
seq682	0	0	0	0	4	0	0	0
seq683	0	0	0	0	4	0	0	0
seq684	0	0	0	0	0	4	0	0
seq685	0	0	0	0	0	4	0	0
seq686	0	0	0	0	0	4	0	0
seq687	0	0	0	0	0	4	0	0
seq688	0	0	0	0	0	4	0	0
seq689	0	0	0	0	0	4	0	0
seq690	0	0	0	0	0	1	2	1
seq691	0	0	0	0	0	0	4	0
seq692	0	0	0	0	0	0	4	0
